frame,sign,kx,ky,sbxframe
10710,-1,-10,5,2890
10725,-1,4,-11,2894
10740,1,-12,3,2898
10755,-1,-9,2,2902
10770,1,-8,-3,2905
10785,1,-9,-11,2909
10800,-1,11,-7,2913
10815,-1,4,-4,2917
10830,-1,-8,-8,2921
10845,-1,-11,-2,2925
10860,1,-10,-6,2929
10875,1,-3,-8,2933
10890,-1,6,10,2936
10905,1,-3,9,2940
10920,1,-7,-1,2944
10935,-1,-5,3,2948
10950,-1,10,-10,2952
10965,-1,11,-9,2956
10980,-1,1,7,2960
10995,-1,6,8,2963
11010,-1,-2,9,2967
11025,1,3,11,2971
11040,-1,7,9,2975
11055,1,-1,-2,2979
11070,-1,7,-10,2983
11085,1,4,9,2987
11100,1,-2,2,2991
11115,-1,12,11,2994
11130,-1,-8,1,2998
11145,-1,10,-12,3002
11160,-1,-7,2,3006
11175,1,6,5,3010
11190,1,-8,-8,3014
11205,-1,3,1,3018
11220,1,-5,9,3021
11235,1,-9,-11,3025
11250,1,2,-6,3029
11265,1,9,2,3033
11280,-1,-3,-11,3037
11295,1,-1,0,3041
11310,-1,9,-12,3045
11325,-1,0,-10,3049
11340,1,-12,-6,3052
11355,1,8,6,3056
11370,1,-2,-3,3060
11385,1,-12,10,3064
11400,1,-5,9,3068
11415,1,-9,2,3072
11430,-1,2,2,3076
11445,1,-3,-6,3079
11460,-1,-2,-1,3083
11475,-1,5,12,3087
11490,-1,-2,8,3091
11505,-1,1,11,3095
11520,1,-12,-2,3099
11535,1,7,-8,3103
11550,1,-5,1,3107
11565,-1,3,-11,3110
11580,1,1,-8,3114
11595,-1,-6,-8,3118
11610,1,6,1,3122
11625,1,1,-5,3126
11640,-1,-9,8,3130
11655,1,-12,-12,3134
11670,1,-6,-10,3137
11685,1,3,-10,3141
11700,-1,-6,10,3145
11715,-1,1,11,3149
11730,1,-2,8,3153
11745,1,-10,10,3157
11760,-1,-4,1,3161
11775,-1,2,0,3165
11790,1,-3,-7,3168
11805,-1,5,-5,3172
11820,-1,2,-11,3176
11835,-1,-7,10,3180
11850,-1,7,-1,3184
11865,-1,-8,2,3188
11880,-1,6,10,3192
11895,-1,10,-3,3196
11910,-1,-3,2,3199
11925,-1,5,6,3203
11940,1,3,-6,3207
11955,-1,12,0,3211
11970,-1,-10,12,3215
11985,-1,-10,7,3219
12000,1,12,10,3223
12015,1,-4,2,3226
12030,-1,-12,-10,3230
12045,1,6,-12,3234
12060,1,-10,-9,3238
12075,-1,7,8,3242
12090,1,-8,9,3246
12105,-1,1,-12,3250
12120,-1,-3,-6,3254
12135,-1,-6,-10,3257
12150,-1,-3,5,3261
12165,-1,-3,12,3265
12180,1,11,-10,3269
12195,-1,-1,-4,3273
12210,1,-9,-5,3277
12225,1,1,4,3281
12240,-1,-10,-5,3284
12255,-1,-9,-10,3288
12270,1,0,-6,3292
12285,-1,-9,-12,3296
12300,1,2,4,3300
12315,-1,5,9,3304
12330,1,10,5,3308
12345,1,-3,-7,3312
12360,-1,-8,0,3315
12375,1,-12,-1,3319
12390,1,-6,-1,3323
12405,-1,6,-5,3327
